titlemenu_play,Играть
item_desc11,"{a}*Если у вас {b} или менее жизней, то есть шанс {c}/{d} лопнуть каждый шарик единожды."
item_desc12,"{a}*Если Набби все еще жив, то он перемещается на вершину доски."
item_desc13,"{a}*Лопает случайный шарик, который даст в два раза больше очков."
item_desc14,{a}*Лопает случайных шариков: {b}
item_desc15,{a}*Шанс {b}/{c} умножить общее количество очков в {d} раз.
item_desc16,{a}*Ошибка: пусто
item_desc17,"{a}*Делает прицельный выстрел, который лопает случайные шарики {b} раз."
item_desc18,{a}*Ошибка: пусто
item_desc19,"{a}*Каждая пустая клетка дает очки, равные общему количеству шариков, которые были лопнуты в этом раунде."
item_desc20,"{a}*Если Набби еще жив, призовет яйцо-ракету, которое упадет с неба и разобьет ряд шариков."
item_desc21,{a}*Лопает нижний шарик {b} раз.
item_desc22,{a}*Ошибка: пусто
item_desc23,"{a}*Дает +{b} очков за каждый раз, когда этот предмет активировался в течение раунда.{a}*Имеет {c}/{d} шанс метаморфозы."
item_desc24,"{a}*Создает молнию, которая бьет током сразу несколько шариков."
item_desc25,{a}*Тест{b}
item_desc26,{a}*Тест{b}
item_desc27,{a}*Тест{b}
item_desc28,"{a}*Дает +{b} очков каждый раз, когда этот предмет активируется в течение раунда."
item_desc29,"{a}*Каждый шарик дает очки, равные {b}% от их текущего количества."
item_desc30,{a}*Удваивает число на случайном шарике.
item_desc31,{a}*Мутирует в предмет слева от меня до конца раунда.
item_desc32,"{a}*Случайный шарик испускает импульс, который временно удваивает количество шариков поблизости."
item_desc33,"{a}*Набби выплескивает ядерные отходы.{a}*Они взрывают все шарики, которых касаются. {a}*Если Набби умрет, случайный шарик взорвется."
item_desc34,{a}*Ошибка: пусто
item_desc35,{a}*Ошибка: пусто
item_desc36,{a}*Этот предмет будет продаваться в три раза дороже стоимости предмета в слоте 1.
btn_reroll,Поменять
btn_goback,<- Назад
btn_cancel,Отмена
btn_done,ОК
btn_deletesave,(!) Удалить Данные (!)
btn_deletesavedirection,Нажми и держи. Отменить будет невозможно!
btn_sell,продать
pausebtn_btg,НАЗАД К ИГРЕ!
pausebtn_abandon,Уйти в меню
gameend_text,Фабрика достигла раунда {a}{b} и получила в итоге: {c} очков!
gameend_textsingle,Фабрика достигла раунда {a}{b} и получила в итоге: {c} очков!
debuginstance,Экземпляров: {a}
keybind_aim,Прицелиться
keybind_launch,Запустить Набби
keybind_pause,Пауза
keybind_fullscreen,Полноэкранный
keybind_sellitem,Продать Предмет
keybind_set,Нажми любую кнопку
free,БЕСПЛАТНО!
gameend_skip,Нажми [{a}] для пропуска
abandon_warning,Ты уверен?
setting_sfx,Звук
setting_music,Музыка
setting_fullscreen,Полноэкранный
btn_click,"Нажми, чтобы начать!"
hoverdirection,"(Наведи, и узнай подробнее.){a}<----"
peg_name0,Ошибка: Неизвестный шарик
peg_name1,Самородок золота
peg_name2,Крепкий Шарик
peg_name3,Шарико-Водородная Бомба
peg_name4,Камуфляжный Шарик
peg_name5,Отрицательный Шарик
peg_name6,Электронный Шарик
peg_name7,Бешеный Шарик
peg_name8,Стеклянный Шарик
peg_name9,Нитро Шарик
peg_name10,Шар-Набби
peg_name11,Ядерный Шарик
peg_name12,Колючий Шарик
peg_name13,Схемошарик
peg_name14,Улыбошарик
peg_desc0,Описание отсутствует
peg_desc1,"Этот шарик дает +{a} монет, когда лопнут первый раз."
peg_desc2,"Этот шарик можно лопнуть только после того, как его каменный слой будет разбит {a} раз."
peg_desc3,Этот шарик единожды лопнет остальные шарики на доске.
peg_desc4,"Этот шарик лопнет верхний шарик, будучи затронут единожды.(Сам при этом не лопнет)"
peg_desc5,При попадании по этому шарику - очки будут вычитаться.
peg_desc6,"Этот шарик активирует предмет в слоте {a}, если в него попасть."
peg_desc7,"Этот шарик умножит все твои очки на {a}x, когда будет впервые лопнут."
peg_desc8,Шарик разобьется после первого попадания по нему.
peg_desc9,При первом попадании этот шарик взорвется и лопнет {a} шариков в крестообразном порядке.
peg_desc10,"Если лопнуть этот шарик, то он призовет дополнительного Набби."
peg_desc11,"Если лопнуть этот шарик, то он умножит все очки на {a}x."
peg_desc12,"Если лопнуть этот шарик, то он убьет Набби и закончит раунд."
peg_desc13,"Если лопнуть этот шарик, то он отключит случайный предмет.{a}*Отключенные предметы не могут быть использованы до конца раунда."
peg_desc14,Этот шарик дает в два раза больше очков.
btn_skiploot,Не хочу
perk_name0,Ошибка: Неизвестный перк
perk_name1,Змеиный Перк
perk_name2,Глупенький Перк
perk_name3,Чародейский Перк
perk_name4,Удачливый Перк
perk_name5,Дрожащий Перк
perk_name6,Злой Перк
perk_name7,Скоростной Перк
perk_name8,Странный Перк
perk_name9,Зомби Перк
perk_name10,Азартный Перк
perk_name11,Мясистый Перк
perk_name12,Хаотичный Перк
perk_name13,Веселый Перк
perk_name14,Жадный Перк
perk_name15,Ягодный Перк
perk_name16,Кубический Перк
perk_name17,Каменистый Перк
perk_desc0,Пустое описание перка
perk_desc1,"*Предмет в слоте {a} бонус-активируется {b} раз, когда лопаются шарики: {c}.{e}Работает за раунд: {d}"
perk_desc2,"*Предмет в слоте {a} бонус-активируется, когда ты лопнешь шариков: {b}.{d}Работает за раунд: {c}."
perk_desc3,"*Предмет в слоте {a} бонус-активируется, если активирован предмет в слоте {b}.{d}Работает за раунд: {c}."
perk_desc4,*Получи +{a}% шанс найти редкие предметы в магазине.
perk_desc5,"*{a}% шанс того, что все предметы, основанные на времени, будут бонус-активироваться каждые полсекунды."
perk_desc6,*Все предметы будут бонус-активироваться каждые {a} секунд.
perk_desc7,*Все предметы в нечетных слотах инвентаря бонус-активируются при запуске Набби.
perk_desc8,*Случайный предмет в инвентаре будет бонус-активироваться каждые {a} секунд.
perk_desc9,*Предметы со способностью {a}когда первый шарик лопается{a} будут бонус-активированы после смерти Набби.
perk_desc10,*Кнопку перемешивания шариков можно нажать еще раз.{a}(кнопка перемешивания - это синяя кнопка в правом углу)
perk_desc11,"*Если слот {a} пуст, предмет в слоте {b} бонус-активируется при ударе Набби о стену.{d} Действует {c} раз за раунд."
perk_desc12,*Случайный предмет имеет {a}% шанс продать себя за +{b} монет при запуске Набби.
perk_desc13,"*Все предметы {a} прошедшие норму выполнения ->{a} будут бонус-активированы, когда норма будет выполнена в первый раз."
perk_desc14,"*Когда Набби умирает, предмет в слоте {a} бонус-активируется 1 раз за каждые {b} монет, которые у тебя есть.{d}Максимум {c} бонус-активаций."
perk_desc15,"*Если за один раунд будет лопнуто {a} шариков, то предмет в слоте {b} активируется {c} раз.{e}Работает {d} раз за раунд."
perk_desc16,"*Если у тебя {a} или меньше предметов, то предмет в слоте {b} активируется {c} раз, когда первый шарик лопнет."
perk_desc17,"*Предмет в слоте {a} бонус-активируется, когда любой шарик будет лопнут.{c}Срабатывает {b} раз за раунд."
rareitemodds,Шанс редкости: {a}%
mainmenu,Главное меню
wishlistmessage,"Ты дошел до конца!{a}Думаю, это означает, что ты выиграл, да?{a}{a}Сделай предзаказ полной версии в Steam, чтобы получить еще больше незабываемых эмоций! {a}(нажми на кнопку {b}Wishlist!{b} ниже)"
specialevent_name1,Хаос!
specialevent_name2,Золотая Лихорадка!
specialevent_name3,Числомания!
specialevent_name4,Скрытные Снайперы!
specialevent_name5,Знакомьтесь: Набби!
specialevent_name6,Скажи СЫР!
specialevent_name7,Царь Шар
bossevent_name1,Бедроковая Сила!
bossevent_name2,Пессимизм!
bossevent_name3,Осколочные Шарики!
bossevent_name4,Ау! Да Как Ты!
bossevent_name5,Тушите Свет!
shoperror1,"Нет места для предметов.{a}Продай предметы, чтобы освободить место!{a}{a}[Нажми {b} на предмет для продажи]"
shoperror2,"Невозможно использовать магию:{a}Чтобы использовать магию, у тебя должен быть хотя бы один предмет."
shoperror3,Невозможно использовать магию:{a}Все предметы уже зачарованы или прокляты.
shoperror4,"Ты слишком беден, чтобы купить это!"
shoperror5,"Ты слишком беден, чтобы поменять товар!"
shoperror6,"Перетащи предмет на эту кнопку, чтобы заморозить его!{a}(Замороженные предметы не исчезнут, даже если ты их прокрутишь или покинешь магазин)."
lootdirections,"Нажми, чтобы открыть!"
perkwarning,Примечание: Перки с тобой навсегда и ты от них не избавишься.
pausebtn_keybinds,Привязка кнопок
nohighscore,Очки:{a}{b}{a}{a}Рекорд:{a}{c}
highscore,НОВЫЙ РЕКОРД!{a}{a}{b}
btn_gainslot,+1 слот в инвентаре
soldout,Распродано!
newgame,Новая игра
roundinfo,Раунд {a}
tut1,"Привет! Ты, наверное, новый сотрудник, о котором мне говорили."
tut2,"Меня зовут Тони, и я твой начальник."
tut3,Моя задача - научить тебя управлять фабрикой.
tut4,"Твое имя или что-то еще меня не волнует, так что давай просто начнем."
tut5,"Во-первых, добро пожаловать на «Nubby's Number Factory» - ведущего производителя чисел!"
tut6,Это центральный пункт управления фабрикой.
tut7,"Для начала, тебе следует запустить наш талисман, Набби, по доске с шариками."
tut8,"Удерживай [{a}] и нажми [{b}], чтобы запустить Набби."
tut9,"Ого, у тебя отлично получается!"
tut10,На фабрике твоя единственная задача - мутить БОЛЬШИЕ числа.
tut11,"Запуская Набби в шарики, ты получаешь столько очков, сколько на них указано."
tut12,"Тут показывается, сколько очков ты заработал за раунд."
tut13,"Число внизу - это твоя Норма Выполнения. Если выполнишь норму, то доска пополнится шариками."
tut14,"Если наберешь ОЧЕНЬ МНОГО очков, то доска пополнится несколько раз подряд."
tut15,"Ой, погоди. Я забыл рассказать тебе о том, как она пополняется!"
tut16,"Слушай внимательно, ведь это очень важно!"
tut17,"Когда доска пополняется, то с неба падают НОВЫЕ шарики и заполняют все пустые места."
tut18,"Если шарики с одинаковыми номерами встретятся, то они объединяться в шарик побольше."
tut19,"Давай попробуем. Продолжай запускать Набби, пока не выполнишь норму.{a}[{b}] + [{c}]"
tut20,Ты можешь лучше. Попробуй еще раз.
tut21,ВАУ! Ошареть как круто! А ты хорош!
tut22,"Ладно, шучу."
tut23,"Хорошо. Мы почти закончили. Чтобы перемешать шарики, нажми на эту кнопку."
tut24,Отлично. Запусти Набби еще раз [{a}] + [{b}]. Я хочу показать тебе кое-что.
tut25,"Ты мог заметить, что Набби запросто лопает одни шарики, но отскакивает от других."
tut26,"Набби лопает шарики с числом 1, а от шариков с числом больше 1 он отскакивает."
tut27,"Ладно дружище, это вроде все. С остальным ты сам разберешься."
tut28,СТОЙ! ПОГОДИ! Я ЗАБЫЛ КОЕ-ЧТО СКАЗАТЬ!
tut29,"Каждый раз, когда ты запускаешь Набби, ты теряешь одну жизнь. Если жизни закончатся, то солнце взорвется."
tut30,"Но, к счастью, каждый раз, когда доска пополняется, ты получаешь обратно одну жизнь."
tut31,Пока ты продолжаешь получать большие числа - никто не будет страдать.
tut32,"Ну вот, теперь я закончил. Спасибо, что не нажал кнопку {a}Пропустить{a}. Я понимаю, удержаться было трудно."
tut33,"Теперь начнем с новой, чистой фабрики. Удачи!"
skiptut,Пропустить
tutdir,(далее)
pmbtn_settings,Настройки
pmbtn_restart,Перезапустить
btn_credits,Авторы
translation,Игру Переводили{a}{a}
startdirection,Удерживай [{a}]      затем нажми [{b}]
